unity_time;FPS
0.000;155.20
0.100;141.72
0.200;139.09
0.300;146.30
0.400;138.55
0.500;146.88
0.600;142.17
0.700;146.61
0.800;141.15
0.900;146.26
1.000;152.96
1.100;149.45
1.200;145.98
1.300;149.65
1.400;150.39
1.500;155.42
1.600;149.22
1.700;152.68
1.800;146.80
1.900;155.80
2.000;149.73
2.100;153.65
2.200;157.76
2.300;155.26
2.400;153.65
2.500;148.55
2.600;153.54
2.700;149.83
2.800;145.56
2.900;146.55
3.000;140.98
3.100;135.79
3.200;131.41
3.300;134.65
3.400;143.36
3.500;145.59
3.600;138.31
3.700;135.14
3.800;137.35
3.900;147.08
4.000;147.75
4.100;137.78
4.200;139.90
4.300;139.22
4.400;136.88
4.500;144.89
4.600;138.62
4.700;146.11
4.800;146.57
4.900;137.59
5.000;147.59
5.100;144.79
5.200;144.72
5.300;140.79
5.400;144.30
5.500;138.49
5.600;131.60
5.700;133.66
5.800;132.58
5.900;136.43
6.000;135.88
6.100;132.55
6.200;122.36
6.300;122.47
6.400;125.69
6.500;131.59
6.600;119.68
6.700;111.51
6.800;119.80
6.900;124.05
7.000;114.76
7.100;110.44
7.200;114.46
7.300;112.23
7.400;108.29
7.500;112.94
7.600;108.45
7.700;107.18
7.800;95.55
7.900;99.72
8.000;118.59
8.100;115.42
8.200;114.98
8.300;103.12
8.400;113.97
8.500;125.23
8.600;112.41
8.700;115.25
8.800;115.04
8.900;113.70
9.000;113.89
9.100;112.08
9.200;111.62
9.300;115.67
9.400;116.56
9.500;107.96
9.600;99.47
9.700;112.75
9.800;109.45
9.900;108.82
10.000;109.09
10.100;110.65
10.200;108.61
10.300;104.66
10.400;106.37
10.500;104.23
10.600;108.01
10.700;113.27
10.800;122.87
10.900;116.14
11.000;118.82
11.100;123.24
11.200;128.47
11.300;127.74
11.400;128.81
11.500;134.71
11.600;137.18
11.700;129.52
11.800;129.17
11.900;129.15
12.000;128.86
12.100;124.65
12.200;128.56
12.300;119.15
12.400;124.28
12.500;107.21
12.600;115.85
12.700;124.06
12.800;117.11
12.900;116.82
13.000;112.93
13.100;123.86
13.200;123.25
13.300;126.52
13.400;121.44
13.500;116.35
13.600;118.56
13.700;124.14
13.800;119.22
13.900;115.19
14.000;113.07
