unity_time;FPS
0.000;182.11
0.100;181.98
0.200;179.81
0.300;177.10
0.400;174.16
0.500;177.69
0.600;172.87
0.700;169.78
0.800;179.44
0.900;177.97
1.000;177.11
1.100;150.30
1.200;125.90
1.300;126.15
1.400;147.80
1.500;134.94
1.600;152.28
1.700;149.68
1.800;146.25
1.900;141.42
2.000;157.29
2.100;164.11
2.200;174.30
2.300;176.95
2.400;163.29
2.500;163.40
2.600;171.57
2.700;166.57
2.800;170.56
2.900;165.26
3.000;161.11
3.100;171.02
3.200;175.14
3.300;166.17
3.400;165.48
3.500;181.62
3.600;187.78
3.700;190.02
3.800;192.88
3.900;189.19
4.000;191.50
4.100;186.84
4.200;189.93
4.300;179.88
4.400;187.61
4.500;187.47
4.600;188.04
4.700;185.34
4.800;181.40
4.900;172.92
5.000;176.04
5.100;180.06
5.200;183.90
5.300;171.45
5.400;174.70
5.500;182.05
5.600;181.90
5.700;179.51
5.800;186.12
5.900;178.49
6.000;169.79
6.100;159.78
6.200;165.19
6.300;172.65
6.400;166.29
6.500;173.52
6.600;183.08
6.700;185.60
6.800;190.51
6.900;174.88
7.000;185.04
7.100;195.47
7.200;192.99
7.300;177.88
7.400;187.14
7.500;197.27
7.600;199.27
7.700;202.62
7.800;203.78
7.900;199.31
8.000;203.07
8.100;201.28
8.200;190.46
8.300;197.80
8.400;199.82
8.500;202.92
8.600;199.02
8.700;204.33
8.800;188.35
8.900;194.44
9.000;201.26
9.100;201.52
9.200;190.73
9.300;190.38
9.400;178.39
9.500;198.35
9.600;200.68
9.700;206.30
9.800;203.97
9.900;194.84
10.000;203.00
10.100;203.35
10.200;189.56
10.300;196.82
10.400;204.34
10.500;207.64
10.600;193.70
10.700;194.33
10.800;191.38
10.900;185.59
11.000;189.27
11.100;207.36
11.200;220.57
11.300;218.06
11.400;206.52
11.500;209.59
11.600;200.00
11.700;214.72
11.800;212.46
11.900;205.02
12.000;200.24
12.100;193.89
12.200;192.38
12.300;201.00
12.400;188.88
12.500;197.86
12.600;199.84
12.700;202.29
12.800;197.02
12.900;195.06
13.000;198.13
13.100;199.17
13.200;196.41
13.300;206.54
13.400;192.50
13.500;175.61
13.600;198.59
13.700;203.99
13.800;214.39
13.900;211.55
14.000;214.27
14.100;215.67
14.200;208.80
14.300;217.68
14.400;196.32
14.500;202.97
14.600;201.95
14.700;211.28
14.800;200.75
14.900;204.40
15.000;213.55
15.100;202.77
15.200;192.28
15.300;176.01
15.400;191.80
15.500;194.90
15.600;193.19
15.700;210.18
15.800;214.95
15.900;211.79
16.000;217.82
16.100;216.90
16.200;202.27
16.300;215.10
16.400;201.37
16.500;215.12
16.600;211.21
16.700;211.23
16.800;216.08
16.900;211.23
17.000;210.09
17.100;199.92
17.200;208.57
17.300;188.35
17.400;189.13
17.500;199.95
17.600;196.35
17.700;212.42
17.800;217.50
17.900;203.97
18.000;213.77
18.100;219.66
18.200;202.70
18.300;206.40
18.400;215.99
18.500;204.34
18.600;204.09
18.700;209.63
18.800;218.74
18.900;208.04
19.000;213.54
19.100;211.86
19.200;213.73
19.300;212.86
19.400;209.24
19.500;217.59
19.600;215.21
19.700;203.39
19.800;202.11
19.900;186.71
20.000;195.32
20.100;192.02
20.200;201.91
20.300;213.34
20.400;212.78
20.500;217.61
20.600;209.54
20.700;213.26
20.800;218.15
20.900;199.39
21.000;199.22
21.100;215.00
21.200;214.41
21.300;209.19
21.400;210.86
21.500;215.96
21.600;208.12
21.700;208.09
21.800;191.02
21.900;208.26
22.000;208.63
22.100;214.86
22.200;215.24
22.300;212.23
22.400;204.64
22.500;198.36
22.600;204.77
22.700;198.71
22.800;198.59
22.900;188.76
23.000;180.65
23.100;178.53
23.200;171.17
23.300;167.15
23.400;172.12
23.500;174.32
23.600;177.34
23.700;183.75
23.800;194.79
23.900;190.02
24.000;192.65
24.100;192.68
24.200;178.72
24.300;172.86
24.400;167.08
24.500;171.86
24.600;159.68
24.700;159.35
24.800;179.58
24.900;186.56
25.000;184.03
25.100;183.58
25.200;195.04
25.300;207.91
25.400;200.90
25.500;196.57
25.600;210.45
25.700;205.79
25.800;207.46
25.900;193.68
26.000;192.46
26.100;183.67
26.200;168.67
26.300;183.60
26.400;178.05
26.500;193.43
26.600;188.63
26.700;181.65
26.800;165.40
26.900;175.80
27.000;164.16
27.100;176.01
27.200;177.29
27.300;180.85
27.400;187.39
27.500;177.39
27.600;167.36
27.700;164.81
27.800;159.38
27.900;173.07
28.000;174.69
28.100;176.55
28.200;166.92
28.300;160.29
28.400;183.30
28.500;181.99
28.600;184.17
28.700;182.78
28.800;191.75
28.900;191.50
29.000;185.98
29.100;196.60
29.200;180.53
29.300;165.27
29.400;151.58
29.500;171.14
29.600;170.69
29.700;170.73
29.800;172.95
29.900;163.54
30.000;130.22
30.100;124.68
30.200;168.47
30.300;185.74
30.400;175.64
30.500;188.15
30.600;188.00
30.700;171.54
30.800;193.82
30.900;191.17
31.000;182.01
31.100;190.36
31.200;194.70
31.300;194.36
31.400;181.22
31.500;179.66
31.600;183.15
31.700;192.01
31.800;185.75
31.900;192.77
32.000;200.48
32.100;195.77
32.200;197.17
32.300;195.59
32.400;198.06
32.500;202.85
32.600;207.30
32.700;206.22
32.800;209.88
32.900;201.39
33.000;200.09
33.100;197.66
33.200;201.31
33.300;204.05
33.400;196.82
33.500;204.50
33.600;190.16
33.700;203.88
33.800;203.48
33.900;200.21
34.000;209.34
34.100;206.53
34.200;211.01
34.300;207.33
34.400;208.08
34.500;194.05
34.600;202.05
34.700;206.75
34.800;208.35
34.900;207.52
35.000;198.75
35.100;195.70
35.200;175.21
35.300;159.29
35.400;143.81
35.500;144.48
35.600;153.57
35.700;185.17
35.800;195.28
35.900;185.35
36.000;163.15
36.100;155.55
36.200;158.68
36.300;162.18
36.400;166.92
36.500;177.94
36.600;190.24
36.700;195.53
36.800;199.74
36.900;196.00
37.000;187.20
37.100;195.18
37.200;174.01
37.300;167.34
37.400;166.93
37.500;188.15
37.600;187.17
37.700;189.74
37.800;190.31
37.900;194.96
38.000;190.53
38.100;200.71
38.200;188.55
38.300;201.75
38.400;191.29
38.500;194.65
38.600;197.64
38.700;196.85
38.800;200.88
38.900;196.50
39.000;195.16
39.100;193.89
39.200;190.00
39.300;195.12
39.400;175.41
39.500;190.68
39.600;196.41
39.700;194.58
39.800;193.18
39.900;194.62
40.000;196.45
40.100;189.50
40.200;194.07
40.300;199.14
40.400;187.69
40.500;180.06
40.600;171.71
40.700;173.70
40.800;167.15
40.900;175.58
41.000;167.80
41.100;184.72
41.200;189.04
41.300;193.59
41.400;190.94
41.500;181.25
41.600;193.82
41.700;195.05
41.800;198.27
41.900;192.22
42.000;192.16
42.100;198.30
42.200;198.52
42.300;200.27
42.400;195.83
42.500;203.62
42.600;201.65
42.700;199.07
42.800;210.86
42.900;203.48
43.000;203.53
43.100;197.21
43.200;193.00
43.300;210.21
43.400;200.44
43.500;204.06
43.600;198.62
43.700;204.87
43.800;201.37
43.900;196.37
44.000;202.40
44.100;194.68
44.200;191.83
44.300;188.28
44.400;188.08
44.500;192.95
44.600;192.55
44.700;191.48
44.800;198.02
44.900;194.82
45.000;181.32
