Time(s);RTF
0.00;0.00
0.10;1.01
0.20;0.99
0.30;1.00
0.40;0.99
0.50;1.02
0.60;0.99
0.70;1.00
0.80;1.01
0.90;0.99
1.00;1.01
1.10;1.00
1.20;1.01
1.30;1.00
1.40;0.99
1.50;0.95
1.60;1.04
1.70;0.96
1.80;1.05
1.90;0.99
2.00;1.02
2.10;1.01
2.20;1.00
2.30;0.99
2.40;1.01
2.50;1.00
2.60;0.98
2.70;1.01
2.80;1.00
2.90;1.03
3.00;0.98
3.10;1.01
3.20;1.01
3.30;1.00
3.40;0.97
3.50;1.02
3.60;1.00
3.70;1.00
3.80;1.00
3.90;1.00
4.00;0.98
4.10;1.02
4.20;0.99
4.30;1.02
4.40;0.99
4.50;1.01
4.60;1.01
4.70;1.00
4.80;0.99
4.90;1.00
5.00;0.98
5.10;1.03
5.20;1.00
5.30;1.00
5.40;0.98
5.50;1.02
5.60;0.99
5.70;1.00
5.80;1.01
5.90;0.99
6.00;0.98
6.10;1.01
6.20;0.99
6.30;1.02
6.40;0.98
6.50;1.01
6.60;1.02
6.70;1.00
6.80;0.98
6.90;1.02
7.00;0.99
7.10;1.01
7.20;0.99
7.30;1.02
7.40;0.96
7.50;1.00
7.60;1.03
7.70;1.01
7.80;0.99
7.90;1.00
8.00;0.99
8.10;1.01
8.20;1.00
8.30;1.00
8.40;1.00
8.50;1.00
8.60;1.00
8.70;1.01
8.80;1.00
8.90;0.98
9.00;0.99
9.10;1.02
9.20;1.00
9.30;1.02
9.40;0.98
9.50;1.02
9.60;1.00
9.70;1.00
9.80;0.99
9.90;1.00
10.00;1.00
10.10;1.01
10.20;0.98
10.30;0.99
10.40;1.01
10.50;1.02
10.60;0.98
10.70;1.00
10.80;1.01
10.90;0.98
11.00;1.00
11.10;0.99
11.20;1.02
11.30;1.02
11.40;0.98
11.50;0.96
11.60;1.05
11.70;0.99
11.80;1.01
11.90;0.99
12.00;1.00
12.10;0.99
12.20;1.01
12.30;1.00
12.40;1.00
12.50;1.00
12.60;1.00
12.70;1.00
12.80;1.02
12.90;0.98
13.00;1.01
13.10;0.99
13.20;1.00
13.30;1.00
13.40;1.00
13.50;0.99
13.60;1.02
13.70;1.00
13.80;1.00
13.90;1.01
14.00;0.99
14.10;1.01
14.20;0.99
14.30;1.01
14.40;0.98
14.50;1.00
14.60;1.00
14.70;1.02
14.80;1.01
14.90;0.99
15.00;1.00
15.10;1.01
15.20;0.97
15.30;1.00
15.40;1.00
15.50;1.01
15.60;1.00
15.70;1.01
15.80;1.01
15.90;1.01
16.00;0.98
16.10;1.01
16.20;0.99
16.30;0.99
16.40;1.00
16.50;1.01
16.60;0.99
16.70;1.01
16.80;1.00
16.90;1.00
17.00;1.00
17.10;1.01
17.20;1.00
17.30;1.00
17.40;0.99
17.50;1.01
17.60;1.00
17.70;0.99
17.80;1.01
17.90;1.00
18.00;1.01
18.10;0.99
18.20;1.01
18.30;0.99
18.40;1.00
18.50;1.00
18.60;1.01
18.70;0.99
18.80;1.01
18.90;0.99
19.00;0.99
19.10;1.00
19.20;1.01
19.30;1.01
19.40;0.98
19.50;0.99
19.60;1.02
19.70;1.00
19.80;0.99
19.90;1.00
20.00;0.99
20.10;1.01
20.20;1.01
20.30;1.02
20.40;0.98
20.50;1.01
20.60;1.00
20.70;1.00
