Time(s);RTF
0.00;0.00
0.10;1.01
0.20;1.01
0.30;0.99
0.40;1.00
0.50;1.00
0.60;0.99
0.70;1.00
0.80;0.99
0.90;1.02
1.00;0.99
1.10;1.00
1.20;1.02
1.30;0.98
1.40;1.02
1.50;1.00
1.60;0.98
1.70;1.02
1.80;0.96
1.90;1.03
2.00;1.01
2.10;1.00
2.20;0.99
2.30;1.02
2.40;0.99
2.50;1.00
2.60;1.01
2.70;0.97
2.80;0.97
2.90;1.02
3.00;1.03
3.10;0.98
3.20;0.98
3.30;0.98
3.40;1.05
3.50;0.99
3.60;1.02
3.70;0.98
3.80;0.99
3.90;1.02
4.00;1.01
4.10;0.98
4.20;1.03
4.30;0.96
4.40;1.02
4.50;1.02
4.60;1.00
4.70;0.99
4.80;1.00
4.90;0.98
5.00;0.99
5.10;1.03
5.20;0.99
5.30;1.01
5.40;1.00
5.50;1.01
5.60;1.00
5.70;1.00
5.80;0.97
5.90;1.04
6.00;0.98
6.10;1.02
6.20;0.98
6.30;0.97
6.40;1.02
6.50;1.00
6.60;1.07
6.70;0.97
6.80;0.93
6.90;1.03
7.00;1.03
7.10;1.00
7.20;0.99
7.30;0.99
7.40;0.98
7.50;0.98
7.60;1.00
7.70;1.05
7.80;0.96
7.90;1.01
8.00;1.02
8.10;1.01
8.20;1.00
8.30;1.00
8.40;1.01
8.50;1.03
8.60;0.99
8.70;1.00
8.80;0.98
8.90;1.00
9.00;1.00
9.10;1.00
9.20;1.01
9.30;0.99
9.40;1.01
9.50;0.98
9.60;1.02
9.70;1.01
9.80;0.99
9.90;1.01
10.00;0.98
10.10;0.97
10.20;0.99
10.30;1.02
10.40;1.00
10.50;1.02
10.60;1.00
10.70;0.99
10.80;1.00
10.90;1.02
11.00;0.99
11.10;1.00
11.20;0.99
11.30;1.01
11.40;1.01
11.50;0.97
11.60;1.02
11.70;1.01
11.80;0.96
11.90;1.02
12.00;1.00
12.10;1.01
12.20;0.99
12.30;1.00
12.40;1.00
12.50;1.02
12.60;1.00
12.70;1.00
12.80;0.99
12.90;1.03
13.00;0.99
13.10;1.00
13.20;0.98
13.30;1.02
13.40;1.00
13.50;1.00
13.60;1.01
13.70;0.97
13.80;0.99
13.90;1.04
14.00;0.98
14.10;1.02
14.20;0.99
14.30;1.01
14.40;1.00
14.50;0.98
14.60;0.99
14.70;1.00
14.80;0.96
14.90;1.01
15.00;1.00
15.10;1.02
15.20;1.00
15.30;1.02
15.40;1.00
15.50;1.00
15.60;0.95
15.70;1.01
15.80;1.00
15.90;1.03
16.00;0.99
16.10;1.01
16.20;0.98
16.30;1.03
16.40;1.01
16.50;0.99
16.60;1.00
16.70;1.01
16.80;0.98
16.90;1.03
17.00;0.98
17.10;1.01
17.20;1.00
17.30;0.98
17.40;1.03
17.50;0.99
17.60;0.99
17.70;1.00
17.80;0.98
17.90;1.01
18.00;1.02
18.10;1.01
18.20;0.98
18.30;1.01
18.40;1.02
18.50;0.99
18.60;0.98
18.70;1.02
18.80;0.98
18.90;1.03
19.00;0.98
19.10;1.00
19.20;0.97
19.30;1.02
19.40;0.98
19.50;1.01
19.60;0.97
19.70;1.01
19.80;1.03
19.90;1.00
20.00;1.00
20.10;0.99
20.20;0.99
20.30;1.02
20.40;1.02
20.50;0.96
20.60;1.03
20.70;1.02
