timestep_time;vehicle_id;vehicle_x;vehicle_y;vehicle_z
0.000;f_0.0;44.10;-0.04;18.57
0.000;f_1.75;21.45;0.00;-7.83
0.000;f_3.77;17.14;0.00;28.84
0.000;f_1.76;21.64;0.00;-15.04
0.000;f_3.79;16.75;0.00;41.97
0.000;f_1.77;23.17;0.00;-22.67
0.000;f_2.81;56.14;0.00;22.71
0.000;f_2.82;67.49;0.00;22.92
0.000;f_1.78;27.40;0.00;-30.56
0.000;f_1.74;21.23;0.00;-0.65
0.000;f_2.80;26.44;0.00;34.20
0.000;f_3.78;16.95;0.00;35.40
0.000;f_3.81;11.66;0.00;53.30
0.000;f_3.80;15.06;0.00;48.51
0.100;f_0.0;43.69;-0.04;18.23
0.100;f_1.75;21.45;0.00;-7.83
0.100;f_3.77;17.14;0.00;28.84
0.100;f_1.76;21.64;0.00;-15.03
0.100;f_3.79;16.75;0.00;41.97
0.100;f_1.77;23.19;0.00;-22.62
0.100;f_2.81;55.72;0.00;22.70
0.100;f_2.82;67.08;0.00;22.91
0.100;f_1.78;27.30;0.00;-30.58
0.100;f_1.74;21.23;0.00;-0.65
0.100;f_2.80;26.43;0.00;35.04
0.100;f_3.78;16.95;0.00;35.40
0.100;f_3.81;11.66;0.00;53.30
0.100;f_3.80;15.08;0.00;48.52
0.200;f_0.0;43.28;-0.04;17.88
0.200;f_1.75;21.45;0.00;-7.83
0.200;f_3.77;17.14;0.00;28.84
0.200;f_1.76;21.65;0.00;-15.03
0.200;f_3.79;16.75;0.00;41.97
0.200;f_1.77;23.20;0.00;-22.58
0.200;f_2.81;55.28;0.00;22.69
0.200;f_2.82;66.67;0.00;22.91
0.200;f_1.78;27.20;0.00;-30.60
0.200;f_1.74;21.23;0.00;-0.65
0.200;f_2.80;26.42;0.00;35.90
0.200;f_3.78;16.95;0.00;35.40
0.200;f_3.81;11.66;0.00;53.30
0.200;f_3.80;15.12;0.00;48.54
0.300;f_0.0;42.87;-0.04;17.54
0.300;f_1.75;21.45;0.00;-7.83
0.300;f_3.77;17.14;0.00;28.84
0.300;f_1.76;21.65;0.00;-15.03
0.300;f_3.79;16.75;0.00;41.97
0.300;f_1.77;23.21;0.00;-22.54
0.300;f_2.81;54.82;0.00;22.68
0.300;f_2.82;66.25;0.00;22.90
0.300;f_1.78;27.10;0.00;-30.62
0.300;f_1.74;21.23;0.00;-0.65
0.300;f_2.80;26.40;0.00;36.78
0.300;f_3.78;16.95;0.00;35.40
0.300;f_3.81;11.66;0.00;53.29
0.300;f_3.80;15.16;0.00;48.55
0.400;f_0.0;42.45;-0.04;17.21
0.400;f_1.75;21.45;0.00;-7.83
0.400;f_3.77;17.14;0.00;28.84
0.400;f_1.76;21.65;0.00;-15.03
0.400;f_3.79;16.75;0.00;41.97
0.400;f_1.77;23.22;0.00;-22.50
0.400;f_2.81;54.34;0.00;22.67
0.400;f_2.82;65.81;0.00;22.89
0.400;f_1.78;27.01;0.00;-30.63
0.400;f_1.74;21.23;0.00;-0.65
0.400;f_2.80;26.39;0.00;37.68
0.400;f_3.78;16.95;0.00;35.40
0.400;f_3.81;11.66;0.00;53.29
0.400;f_3.80;15.21;0.00;48.58
0.500;f_0.0;41.98;-0.04;16.93
0.500;f_1.75;21.45;0.00;-7.83
0.500;f_3.77;17.14;0.00;28.84
0.500;f_1.76;21.65;0.00;-15.02
0.500;f_3.79;16.75;0.00;41.97
0.500;f_1.77;23.24;0.00;-22.47
0.500;f_2.81;53.85;0.00;22.67
0.500;f_2.82;65.36;0.00;22.88
0.500;f_1.78;26.91;0.00;-30.65
0.500;f_1.74;21.23;0.00;-0.65
0.500;f_2.80;26.37;0.00;38.61
0.500;f_3.78;16.95;0.00;35.40
0.500;f_3.81;11.66;0.00;53.29
0.500;f_3.80;15.27;0.00;48.60
0.600;f_0.0;41.47;-0.04;16.74
0.600;f_1.75;21.45;0.00;-7.83
0.600;f_3.77;17.14;0.00;28.84
0.600;f_1.76;21.65;0.00;-15.02
0.600;f_3.79;16.75;0.00;41.97
0.600;f_1.77;23.25;0.00;-22.44
0.600;f_2.81;53.34;0.00;22.66
0.600;f_2.82;64.89;0.00;22.87
0.600;f_1.78;26.81;0.00;-30.67
0.600;f_1.74;21.23;0.00;-0.65
0.600;f_2.80;26.35;0.00;39.55
0.600;f_3.78;16.95;0.00;35.40
0.600;f_3.81;11.66;0.00;53.29
0.600;f_3.80;15.34;0.00;48.63
0.700;f_0.0;40.91;-0.04;16.65
0.700;f_1.75;21.45;0.00;-7.83
0.700;f_3.77;17.14;0.00;28.84
0.700;f_1.76;21.65;0.00;-15.02
0.700;f_3.79;16.75;0.00;41.97
0.700;f_1.77;23.26;0.00;-22.41
0.700;f_2.81;52.80;0.00;22.65
0.700;f_2.82;64.42;0.00;22.86
0.700;f_1.78;26.71;0.00;-30.67
0.700;f_1.74;21.23;0.00;-0.65
0.700;f_2.80;26.33;0.00;40.52
0.700;f_2.83;71.72;0.00;23.00
0.700;f_3.78;16.95;0.00;35.40
0.700;f_3.81;11.66;0.00;53.29
0.700;f_3.80;15.41;0.00;48.67
0.800;f_0.0;40.35;-0.04;16.63
0.800;f_1.75;21.45;0.00;-7.83
0.800;f_3.77;17.14;0.00;28.84
0.800;f_1.76;21.65;0.00;-15.02
0.800;f_3.79;16.75;0.00;41.97
0.800;f_1.77;23.27;0.00;-22.38
0.800;f_2.81;52.24;0.00;22.64
0.800;f_2.82;63.93;0.00;22.85
0.800;f_1.78;26.60;0.00;-30.65
0.800;f_1.74;21.23;0.00;-0.65
0.800;f_2.80;26.31;0.00;41.51
0.800;f_2.83;71.70;0.00;23.00
0.800;f_3.78;16.95;0.00;35.40
0.800;f_3.81;11.66;0.00;53.29
0.800;f_3.80;15.50;0.00;48.71
0.900;f_0.0;39.80;-0.04;16.60
0.900;f_1.75;21.45;0.00;-7.83
0.900;f_3.77;17.14;0.00;28.84
0.900;f_1.76;21.65;0.00;-15.02
0.900;f_3.79;16.75;0.00;41.96
0.900;f_1.77;23.28;0.00;-22.36
0.900;f_2.81;51.66;0.00;22.62
0.900;f_2.82;63.43;0.00;22.84
0.900;f_1.78;26.48;0.00;-30.60
0.900;f_1.74;21.23;0.00;-0.65
0.900;f_2.80;26.28;0.00;42.51
0.900;f_2.83;71.65;0.00;23.00
0.900;f_3.78;16.95;0.00;35.40
0.900;f_3.81;11.66;0.00;53.29
0.900;f_3.80;15.59;0.00;48.75
1.000;f_0.0;39.25;-0.04;16.60
1.000;f_1.75;21.45;0.00;-7.83
1.000;f_3.77;17.14;0.00;28.84
1.000;f_1.76;21.66;0.00;-15.02
1.000;f_3.79;16.75;0.00;41.96
1.000;f_1.77;23.29;0.00;-22.34
1.000;f_2.81;51.06;0.00;22.61
1.000;f_2.82;62.91;0.00;22.84
1.000;f_1.78;26.43;0.00;-30.50
1.000;f_1.74;21.23;0.00;-0.65
1.000;f_2.80;26.26;0.00;43.53
1.000;f_2.83;71.58;0.00;23.00
1.000;f_3.78;16.95;0.00;35.40
1.000;f_3.81;11.66;0.00;53.29
1.000;f_3.80;15.67;0.00;48.78
1.100;f_0.0;38.70;-0.04;16.68
1.100;f_1.75;21.45;0.00;-7.83
1.100;f_3.77;17.14;0.00;28.84
1.100;f_1.76;21.66;0.00;-15.01
1.100;f_3.79;16.75;0.00;41.96
1.100;f_1.77;23.30;0.00;-22.32
1.100;f_2.81;50.43;0.00;22.60
1.100;f_2.82;62.37;0.00;22.83
1.100;f_1.78;26.39;0.00;-30.37
1.100;f_1.74;21.23;0.00;-0.65
1.100;f_2.80;26.23;0.00;44.56
1.100;f_2.83;71.49;0.00;23.00
1.100;f_3.78;16.95;0.00;35.40
1.100;f_3.81;11.66;0.00;53.29
1.100;f_3.80;15.76;0.00;48.82
1.200;f_0.0;38.16;-0.04;16.78
1.200;f_1.75;21.45;0.00;-7.83
1.200;f_3.77;17.14;0.00;28.84
1.200;f_1.76;21.66;0.00;-15.01
1.200;f_3.79;16.75;0.00;41.96
1.200;f_1.77;23.30;0.00;-22.30
1.200;f_2.81;49.79;0.00;22.59
1.200;f_2.82;61.82;0.00;22.81
1.200;f_1.78;26.35;0.00;-30.22
1.200;f_1.74;21.23;0.00;-0.65
1.200;f_2.80;26.21;0.00;45.62
1.200;f_2.83;71.37;0.00;22.99
1.200;f_3.78;16.95;0.00;35.40
1.200;f_3.81;11.66;0.00;53.29
1.200;f_3.80;15.85;0.00;48.85
1.300;f_0.0;37.64;-0.04;16.84
1.300;f_1.75;21.45;0.00;-7.83
1.300;f_3.77;17.14;0.00;28.84
1.300;f_1.76;21.66;0.00;-15.01
1.300;f_3.79;16.75;0.00;41.96
1.300;f_1.77;23.31;0.00;-22.29
1.300;f_2.81;49.14;0.00;22.58
1.300;f_2.82;61.26;0.00;22.80
1.300;f_1.78;26.30;0.00;-30.05
1.300;f_1.74;21.23;0.00;-0.65
1.300;f_2.80;26.18;0.00;46.70
1.300;f_2.83;71.23;0.00;22.99
1.300;f_3.78;16.95;0.00;35.40
1.300;f_3.81;11.66;0.00;53.29
1.300;f_3.80;15.94;0.00;48.88
1.400;f_0.0;37.13;-0.04;16.83
1.400;f_1.75;21.45;0.00;-7.83
1.400;f_3.77;17.14;0.00;28.84
1.400;f_1.76;21.66;0.00;-15.01
1.400;f_3.79;16.75;0.00;41.96
1.400;f_1.77;23.32;0.00;-22.27
1.400;f_2.81;48.46;0.00;22.56
1.400;f_2.82;60.68;0.00;22.79
1.400;f_1.78;26.25;0.00;-29.86
1.400;f_1.74;21.23;0.00;-0.65
1.400;f_2.80;26.15;0.00;47.79
1.400;f_2.83;71.07;0.00;22.99
1.400;f_3.78;16.95;0.00;35.40
1.400;f_3.81;11.66;0.00;53.28
1.400;f_3.80;16.02;0.00;48.91
1.500;f_0.0;36.63;-0.04;16.77
1.500;f_1.75;21.45;0.00;-7.83
1.500;f_3.77;17.14;0.00;28.84
1.500;f_1.76;21.66;0.00;-15.01
1.500;f_3.79;16.75;0.00;41.96
1.500;f_1.77;23.33;0.00;-22.26
1.500;f_2.81;47.76;0.00;22.55
1.500;f_2.82;60.09;0.00;22.78
1.500;f_1.78;26.20;0.00;-29.65
1.500;f_1.74;21.23;0.00;-0.65
1.500;f_2.80;26.12;0.00;48.91
1.500;f_2.83;70.89;0.00;22.98
1.500;f_3.78;16.95;0.00;35.40
1.500;f_3.81;11.66;0.00;53.28
1.500;f_3.80;16.09;0.00;48.92
1.600;f_0.0;36.16;-0.04;16.70
1.600;f_1.75;21.45;0.00;-7.83
1.600;f_3.77;17.14;0.00;28.84
1.600;f_1.76;21.66;0.00;-15.01
1.600;f_3.79;16.75;0.00;41.96
1.600;f_1.77;23.33;0.00;-22.25
1.600;f_2.81;47.04;0.00;22.54
1.600;f_2.82;59.47;0.00;22.77
1.600;f_1.78;26.16;0.00;-29.42
1.600;f_1.74;21.23;0.00;-0.65
